2.14E+18;2.62E+13;2.14E+02;2.62E-02
2.16E+18;7.78E+13;2.16E+02;7.78E-02
2.17E+18;9.35E+13;2.17E+02;9.35E-02
2.19E+18;6.20E+13;2.19E+02;6.20E-02
2.20E+18;4.13E+13;2.20E+02;4.13E-02
2.22E+18;7.49E+13;2.22E+02;7.49E-02
2.23E+18;7.89E+13;2.23E+02;7.89E-02
2.25E+18;4.37E+13;2.25E+02;4.37E-02
2.27E+18;4.38E+13;2.27E+02;4.38E-02
2.28E+18;8.35E+13;2.28E+02;8.35E-02
2.30E+18;8.50E+13;2.30E+02;8.50E-02
2.31E+18;4.22E+13;2.31E+02;4.22E-02
2.33E+18;3.18E+13;2.33E+02;3.18E-02
2.34E+18;8.37E+13;2.34E+02;8.37E-02
2.36E+18;9.91E+13;2.36E+02;9.91E-02
2.38E+18;7.30E+13;2.38E+02;7.30E-02
2.39E+18;2.96E+13;2.39E+02;2.96E-02
2.41E+18;3.31E+13;2.41E+02;3.31E-02
2.42E+18;4.42E+13;2.42E+02;4.42E-02
2.44E+18;3.18E+13;2.44E+02;3.18E-02
2.45E+18;3.68E+13;2.45E+02;3.68E-02
2.47E+18;5.88E+13;2.47E+02;5.88E-02
2.48E+18;6.00E+13;2.48E+02;6.00E-02
2.50E+18;3.70E+13;2.50E+02;3.70E-02
2.52E+18;2.19E+13;2.52E+02;2.19E-02
2.53E+18;4.30E+13;2.53E+02;4.30E-02
2.55E+18;5.48E+13;2.55E+02;5.48E-02
2.56E+18;5.68E+13;2.56E+02;5.68E-02
2.58E+18;5.79E+13;2.58E+02;5.79E-02
2.59E+18;5.11E+13;2.59E+02;5.11E-02
2.61E+18;2.93E+13;2.61E+02;2.93E-02
2.63E+18;2.77E+13;2.63E+02;2.77E-02
2.64E+18;5.61E+13;2.64E+02;5.61E-02
2.66E+18;6.64E+13;2.66E+02;6.64E-02
2.67E+18;5.49E+13;2.67E+02;5.49E-02
2.69E+18;5.58E+13;2.69E+02;5.58E-02
2.70E+18;8.32E+13;2.70E+02;8.32E-02
2.72E+18;9.65E+13;2.72E+02;9.65E-02
2.73E+18;7.77E+13;2.73E+02;7.77E-02
2.75E+18;3.76E+13;2.75E+02;3.76E-02
2.77E+18;3.32E+13;2.77E+02;3.32E-02
2.78E+18;5.37E+13;2.78E+02;5.37E-02
2.80E+18;4.35E+13;2.80E+02;4.35E-02
2.81E+18;1.15E+13;2.81E+02;1.15E-02
2.83E+18;4.53E+13;2.83E+02;4.53E-02
2.84E+18;6.90E+13;2.84E+02;6.90E-02
2.86E+18;5.42E+13;2.86E+02;5.42E-02
2.88E+18;2.49E+13;2.88E+02;2.49E-02
2.89E+18;7.26E+13;2.89E+02;7.26E-02
2.91E+18;1.04E+14;2.91E+02;1.04E-01
2.92E+18;7.50E+13;2.92E+02;7.50E-02
2.94E+18;2.15E+13;2.94E+02;2.15E-02
2.95E+18;1.45E+14;2.95E+02;1.45E-01
2.97E+18;2.31E+14;2.97E+02;2.31E-01
2.98E+18;2.03E+14;2.98E+02;2.03E-01
3.00E+18;1.30E+13;3.00E+02;1.30E-02
3.02E+18;3.30E+14;3.02E+02;3.30E-01
3.03E+18;7.47E+14;3.03E+02;7.47E-01
3.05E+18;1.11E+15;3.05E+02;1.11E+00
3.06E+18;1.31E+15;3.06E+02;1.31E+00
3.08E+18;1.25E+15;3.08E+02;1.25E+00
3.09E+18;9.53E+14;3.09E+02;9.53E-01
3.11E+18;5.10E+14;3.11E+02;5.10E-01
3.13E+18;6.78E+13;3.13E+02;6.78E-02
3.14E+18;2.39E+14;3.14E+02;2.39E-01
3.16E+18;3.35E+14;3.16E+02;3.35E-01
3.17E+18;2.36E+14;3.17E+02;2.36E-01
3.19E+18;3.15E+13;3.19E+02;3.15E-02
3.20E+18;1.59E+14;3.20E+02;1.59E-01
3.22E+18;2.42E+14;3.22E+02;2.42E-01
3.23E+18;1.91E+14;3.23E+02;1.91E-01
3.25E+18;4.85E+13;3.25E+02;4.85E-02
3.27E+18;1.04E+14;3.27E+02;1.04E-01
3.28E+18;1.82E+14;3.28E+02;1.82E-01
3.30E+18;1.57E+14;3.30E+02;1.57E-01
3.31E+18;5.21E+13;3.31E+02;5.21E-02
3.33E+18;6.86E+13;3.33E+02;6.86E-02
3.34E+18;1.38E+14;3.34E+02;1.38E-01
3.36E+18;1.26E+14;3.36E+02;1.26E-01
3.38E+18;5.11E+13;3.38E+02;5.11E-02
3.39E+18;5.22E+13;3.39E+02;5.22E-02
3.41E+18;1.01E+14;3.41E+02;1.01E-01
3.42E+18;8.40E+13;3.42E+02;8.40E-02
3.44E+18;2.44E+13;3.44E+02;2.44E-02
3.45E+18;7.74E+13;3.45E+02;7.74E-02
3.47E+18;1.19E+14;3.47E+02;1.19E-01
3.48E+18;9.98E+13;3.48E+02;9.98E-02
3.50E+18;3.91E+13;3.50E+02;3.91E-02
3.52E+18;6.04E+13;3.52E+02;6.04E-02
3.53E+18;9.66E+13;3.53E+02;9.66E-02
3.55E+18;7.58E+13;3.55E+02;7.58E-02
3.56E+18;1.75E+13;3.56E+02;1.75E-02
3.58E+18;7.02E+13;3.58E+02;7.02E-02
3.59E+18;1.07E+14;3.59E+02;1.07E-01
3.61E+18;8.71E+13;3.61E+02;8.71E-02
3.63E+18;2.15E+13;3.63E+02;2.15E-02
3.64E+18;5.38E+13;3.64E+02;5.38E-02
3.66E+18;9.46E+13;3.66E+02;9.46E-02
3.67E+18;8.23E+13;3.67E+02;8.23E-02
3.69E+18;3.68E+13;3.69E+02;3.68E-02
3.70E+18;5.59E+13;3.70E+02;5.59E-02
3.72E+18;8.47E+13;3.72E+02;8.47E-02
3.73E+18;6.61E+13;3.73E+02;6.61E-02
3.75E+18;2.08E+13;3.75E+02;2.08E-02
3.77E+18;6.55E+13;3.77E+02;6.55E-02
3.78E+18;9.71E+13;3.78E+02;9.71E-02
3.80E+18;7.76E+13;3.80E+02;7.76E-02
3.81E+18;1.70E+13;3.81E+02;1.70E-02
3.83E+18;5.17E+13;3.83E+02;5.17E-02
3.84E+18;9.01E+13;3.84E+02;9.01E-02
3.86E+18;7.95E+13;3.86E+02;7.95E-02
3.88E+18;3.34E+13;3.88E+02;3.34E-02
3.89E+18;4.17E+13;3.89E+02;4.17E-02
3.91E+18;7.05E+13;3.91E+02;7.05E-02
3.92E+18;5.56E+13;3.92E+02;5.56E-02
3.94E+18;1.24E+13;3.94E+02;1.24E-02
3.95E+18;5.81E+13;3.95E+02;5.81E-02
3.97E+18;8.75E+13;3.97E+02;8.75E-02
3.98E+18;7.11E+13;3.98E+02;7.11E-02
4.00E+18;1.90E+13;4.00E+02;1.90E-02
4.02E+18;3.94E+13;4.02E+02;3.94E-02
4.03E+18;6.58E+13;4.03E+02;6.58E-02
4.05E+18;4.37E+13;4.05E+02;4.37E-02
4.06E+18;1.74E+13;4.06E+02;1.74E-02
4.08E+18;8.39E+13;4.08E+02;8.39E-02
4.09E+18;1.20E+14;4.09E+02;1.20E-01
4.11E+18;1.05E+14;4.11E+02;1.05E-01
4.13E+18;5.01E+13;4.13E+02;5.01E-02
4.14E+18;4.43E+13;4.14E+02;4.43E-02
4.16E+18;8.52E+13;4.16E+02;8.52E-02
4.17E+18;8.29E+13;4.17E+02;8.29E-02
4.19E+18;3.80E+13;4.19E+02;3.80E-02
4.20E+18;3.24E+13;4.20E+02;3.24E-02
4.22E+18;7.54E+13;4.22E+02;7.54E-02
4.23E+18;7.88E+13;4.23E+02;7.88E-02
4.25E+18;4.53E+13;4.25E+02;4.53E-02
4.27E+18;3.32E+13;4.27E+02;3.32E-02
4.28E+18;6.22E+13;4.28E+02;6.22E-02
4.30E+18;6.08E+13;4.30E+02;6.08E-02
4.31E+18;3.19E+13;4.31E+02;3.19E-02
4.33E+18;4.92E+13;4.33E+02;4.92E-02
